instance_id,kind,base_instance_id,patch_loc,patch_files,test_patch_loc,n_fail_to_pass,difficulty_z
microsoftInternal__NAV-208851,base,microsoftInternal__NAV-208851,1,1,33,1,-2.14
microsoftInternal__NAV-208320,base,microsoftInternal__NAV-208320,106,6,54,1,10.427
microsoftInternal__NAV-227219,base,microsoftInternal__NAV-227219,4,1,52,1,-1.61
microsoftInternal__NAV-227358,base,microsoftInternal__NAV-227358,1,1,83,1,-1.094
microsoftInternal__NAV-226004,base,microsoftInternal__NAV-226004,32,1,223,1,3.216
microsoftInternal__NAV-223202,base,microsoftInternal__NAV-223202,9,1,81,1,-0.779
microsoftInternal__NAV-226448,base,microsoftInternal__NAV-226448,14,1,85,1,-0.474
microsoftInternal__NAV-227153,base,microsoftInternal__NAV-227153,110,1,87,1,3.838
microsoftInternal__NAV-227240,base,microsoftInternal__NAV-227240,3,1,62,1,-1.444
microsoft__BCApps-5633,base,microsoft__BCApps-5633,32,1,41,1,-0.594
microsoft__BCApps-4822,base,microsoft__BCApps-4822,11,1,32,1,-1.716
microsoft__BCApps-4699,base,microsoft__BCApps-4699,12,1,39,1,-1.526
microsoftInternal__NAV-223790,base,microsoftInternal__NAV-223790,22,1,119,1,0.594
microsoftInternal__NAV-223819,base,microsoftInternal__NAV-223819,13,1,77,1,-0.685
microsoftInternal__NAV-222092,base,microsoftInternal__NAV-222092,4,1,80,1,-1.023
microsoftInternal__NAV-218062,base,microsoftInternal__NAV-218062,4,1,158,1,0.61
microsoftInternal__NAV-218253,base,microsoftInternal__NAV-218253,12,1,101,1,-0.228
microsoftInternal__NAV-218995,base,microsoftInternal__NAV-218995,3,1,41,1,-1.884
microsoftInternal__NAV-218786,base,microsoftInternal__NAV-218786,29,1,145,1,1.449
microsoftInternal__NAV-217974,base,microsoftInternal__NAV-217974,1,1,42,1,-1.952
microsoftInternal__NAV-222488,base,microsoftInternal__NAV-222488,10,1,57,1,-1.238
microsoftInternal__NAV-222484,base,microsoftInternal__NAV-222484,35,1,93,1,0.628
microsoftInternal__NAV-220314,base,microsoftInternal__NAV-220314,1,1,48,1,-1.826
microsoftInternal__NAV-214926,base,microsoftInternal__NAV-214926,67,2,70,1,3.06
microsoftInternal__NAV-215972,base,microsoftInternal__NAV-215972,2,1,39,1,-1.971
microsoftInternal__NAV-216057,base,microsoftInternal__NAV-216057,17,1,65,1,-0.759
microsoftInternal__NAV-216572,base,microsoftInternal__NAV-216572,4,1,131,1,0.044
microsoftInternal__NAV-217797,base,microsoftInternal__NAV-217797,7,2,109,1,1.209
microsoftInternal__NAV-214557,base,microsoftInternal__NAV-214557,26,1,72,1,-0.212
microsoftInternal__NAV-212355,base,microsoftInternal__NAV-212355,115,2,176,1,7.414
microsoftInternal__NAV-214825,base,microsoftInternal__NAV-214825,1,1,61,1,-1.554
microsoft__BCApps-4766,base,microsoft__BCApps-4766,72,2,87,2,9.806
microsoftInternal__NAV-210200,base,microsoftInternal__NAV-210200,5,1,100,1,-0.56
microsoftInternal__NAV-208649,base,microsoftInternal__NAV-208649,17,1,88,1,-0.278
microsoftInternal__NAV-209496,base,microsoftInternal__NAV-209496,8,1,43,1,-1.62
microsoftInternal__NAV-208748,base,microsoftInternal__NAV-208748,11,1,93,1,-0.439
microsoftInternal__NAV-209450,base,microsoftInternal__NAV-209450,22,1,90,1,-0.013
microsoftInternal__NAV-201169,base,microsoftInternal__NAV-201169,29,2,39,1,0.721
microsoftInternal__NAV-209835,base,microsoftInternal__NAV-209835,2,1,92,1,-0.861
microsoftInternal__NAV-211548,base,microsoftInternal__NAV-211548,6,1,126,1,0.029
microsoftInternal__NAV-209737,base,microsoftInternal__NAV-209737,3,1,169,1,0.796
microsoftInternal__NAV-211521,base,microsoftInternal__NAV-211521,2,1,33,1,-2.096
microsoftInternal__NAV-213683,base,microsoftInternal__NAV-213683,5,1,52,1,-1.565
microsoftInternal__NAV-213671,base,microsoftInternal__NAV-213671,2,1,39,1,-1.971
microsoftInternal__NAV-215645,base,microsoftInternal__NAV-215645,5,1,35,1,-1.92
microsoftInternal__NAV-220452,base,microsoftInternal__NAV-220452,66,1,68,1,1.483
microsoftInternal__NAV-206135,base,microsoftInternal__NAV-206135,3,2,55,1,-0.1
microsoftInternal__NAV-217104,base,microsoftInternal__NAV-217104,5,1,103,1,-0.497
microsoftInternal__NAV-207247,base,microsoftInternal__NAV-207247,1,1,109,1,-0.549
microsoftInternal__NAV-207177,base,microsoftInternal__NAV-207177,33,1,33,1,-0.717
microsoftInternal__NAV-207236,base,microsoftInternal__NAV-207236,33,2,98,1,2.134
microsoftInternal__NAV-206977,base,microsoftInternal__NAV-206977,20,2,48,1,0.51
microsoftInternal__NAV-191624,base,microsoftInternal__NAV-191624,2,1,43,1,-1.887
microsoftInternal__NAV-195193,base,microsoftInternal__NAV-195193,81,2,50,1,3.265
microsoftInternal__NAV-207878,base,microsoftInternal__NAV-207878,26,2,162,1,3.163
microsoftInternal__NAV-185792,base,microsoftInternal__NAV-185792,5,1,53,1,-1.544
microsoftInternal__NAV-185488,base,microsoftInternal__NAV-185488,105,1,42,1,2.673
microsoftInternal__NAV-192565,base,microsoftInternal__NAV-192565,1,1,28,1,-2.245
microsoftInternal__NAV-181900,base,microsoftInternal__NAV-181900,37,1,37,1,-0.456
microsoftInternal__NAV-182354,base,microsoftInternal__NAV-182354,12,1,81,1,-0.646
microsoftInternal__NAV-205825,base,microsoftInternal__NAV-205825,5,1,38,1,-1.858
microsoftInternal__NAV-185696,base,microsoftInternal__NAV-185696,2,2,53,1,-0.187
microsoftInternal__NAV-176426,base,microsoftInternal__NAV-176426,28,2,39,1,0.677
microsoftInternal__NAV-180484,base,microsoftInternal__NAV-180484,6,1,82,1,-0.892
microsoftInternal__NAV-183399,base,microsoftInternal__NAV-183399,1,1,36,1,-2.078
microsoftInternal__NAV-174794,base,microsoftInternal__NAV-174794,1,1,66,1,-1.449
microsoftInternal__NAV-203923,base,microsoftInternal__NAV-203923,6,1,48,1,-1.604
microsoftInternal__NAV-204450,base,microsoftInternal__NAV-204450,2,1,112,1,-0.442
microsoftInternal__NAV-175577,base,microsoftInternal__NAV-175577,51,1,61,1,0.67
microsoftInternal__NAV-176150,base,microsoftInternal__NAV-176150,2,1,106,1,-0.568
microsoftInternal__NAV-175765,base,microsoftInternal__NAV-175765,22,2,80,1,1.269
microsoftInternal__NAV-179733,base,microsoftInternal__NAV-179733,4,1,47,1,-1.714
microsoftInternal__NAV-176194,base,microsoftInternal__NAV-176194,15,2,304,2,11.813
microsoftInternal__NAV-177493,base,microsoftInternal__NAV-177493,4,1,55,1,-1.547
microsoftInternal__NAV-177750,base,microsoftInternal__NAV-177750,75,3,60,1,4.699
microsoftInternal__NAV-178045,base,microsoftInternal__NAV-178045,16,1,202,1,2.065
microsoftInternal__NAV-176082,base,microsoftInternal__NAV-176082,29,1,154,1,1.638
microsoftInternal__NAV-174087,base,microsoftInternal__NAV-174087,1,1,56,1,-1.659
microsoftInternal__NAV-174087__cf-1,cf,microsoftInternal__NAV-174087,1,1,56,1,-1.659
microsoftInternal__NAV-174087__cf-2,cf,microsoftInternal__NAV-174087,1,1,56,1,-1.659
microsoftInternal__NAV-174794__cf-1,cf,microsoftInternal__NAV-174794,2,1,66,1,-1.405
microsoftInternal__NAV-174794__cf-2,cf,microsoftInternal__NAV-174794,1,1,66,1,-1.449
microsoftInternal__NAV-174794__cf-3,cf,microsoftInternal__NAV-174794,2,1,66,1,-1.405
microsoftInternal__NAV-175765__cf-1,cf,microsoftInternal__NAV-175765,22,2,79,1,1.248
microsoftInternal__NAV-175765__cf-2,cf,microsoftInternal__NAV-175765,22,2,80,1,1.269
microsoftInternal__NAV-175765__cf-3,cf,microsoftInternal__NAV-175765,22,2,81,1,1.29
microsoftInternal__NAV-176082__cf-1,cf,microsoftInternal__NAV-176082,27,1,154,1,1.549
microsoftInternal__NAV-176082__cf-2,cf,microsoftInternal__NAV-176082,31,1,154,1,1.727
microsoftInternal__NAV-176082__cf-3,cf,microsoftInternal__NAV-176082,29,1,154,1,1.638
microsoftInternal__NAV-176150__cf-1,cf,microsoftInternal__NAV-176150,2,1,106,1,-0.568
microsoftInternal__NAV-176150__cf-2,cf,microsoftInternal__NAV-176150,2,1,106,1,-0.568
microsoftInternal__NAV-176194__cf-1,cf,microsoftInternal__NAV-176194,7,2,304,2,11.458
microsoftInternal__NAV-176194__cf-2,cf,microsoftInternal__NAV-176194,14,2,304,2,11.769
microsoftInternal__NAV-176194__cf-3,cf,microsoftInternal__NAV-176194,7,2,304,2,11.458
microsoftInternal__NAV-176426__cf-1,cf,microsoftInternal__NAV-176426,26,2,39,1,0.588
microsoftInternal__NAV-176426__cf-2,cf,microsoftInternal__NAV-176426,37,2,39,1,1.077
microsoftInternal__NAV-177493__cf-1,cf,microsoftInternal__NAV-177493,4,1,58,1,-1.484
microsoftInternal__NAV-177493__cf-2,cf,microsoftInternal__NAV-177493,4,1,47,1,-1.714
microsoftInternal__NAV-177493__cf-3,cf,microsoftInternal__NAV-177493,4,1,55,1,-1.547
microsoftInternal__NAV-178045__cf-1,cf,microsoftInternal__NAV-178045,16,1,202,1,2.065
microsoftInternal__NAV-179733__cf-1,cf,microsoftInternal__NAV-179733,4,1,47,1,-1.714
microsoftInternal__NAV-180484__cf-1,cf,microsoftInternal__NAV-180484,6,1,82,1,-0.892
microsoftInternal__NAV-180484__cf-2,cf,microsoftInternal__NAV-180484,8,1,82,1,-0.803
microsoftInternal__NAV-182354__cf-1,cf,microsoftInternal__NAV-182354,18,1,82,1,-0.358
microsoftInternal__NAV-183399__cf-1,cf,microsoftInternal__NAV-183399,1,1,36,1,-2.078
microsoftInternal__NAV-183399__cf-2,cf,microsoftInternal__NAV-183399,2,1,36,1,-2.034
microsoftInternal__NAV-185488__cf-1,cf,microsoftInternal__NAV-185488,107,1,44,1,2.804
microsoftInternal__NAV-185792__cf-1,cf,microsoftInternal__NAV-185792,5,1,53,1,-1.544
microsoftInternal__NAV-188438__cf-1,cf,microsoftInternal__NAV-188438,6,1,51,1,-1.541
microsoftInternal__NAV-192565__cf-1,cf,microsoftInternal__NAV-192565,2,1,29,1,-2.18
microsoftInternal__NAV-192565__cf-2,cf,microsoftInternal__NAV-192565,2,1,30,1,-2.159
microsoftInternal__NAV-192565__cf-3,cf,microsoftInternal__NAV-192565,3,1,29,1,-2.135
microsoftInternal__NAV-193853__cf-1,cf,microsoftInternal__NAV-193853,23,1,66,1,-0.471
microsoftInternal__NAV-193853__cf-2,cf,microsoftInternal__NAV-193853,23,1,66,1,-0.471
microsoftInternal__NAV-195193__cf-1,cf,microsoftInternal__NAV-195193,81,2,50,1,3.265
microsoftInternal__NAV-195193__cf-2,cf,microsoftInternal__NAV-195193,21,2,50,1,0.596
microsoftInternal__NAV-195193__cf-3,cf,microsoftInternal__NAV-195193,17,2,30,1,-0.001
microsoftInternal__NAV-201169__cf-1,cf,microsoftInternal__NAV-201169,29,2,41,1,0.763
microsoftInternal__NAV-201169__cf-2,cf,microsoftInternal__NAV-201169,29,2,39,1,0.721
microsoftInternal__NAV-201169__cf-3,cf,microsoftInternal__NAV-201169,29,2,39,1,0.721
microsoftInternal__NAV-203923__cf-1,cf,microsoftInternal__NAV-203923,9,1,48,1,-1.47
microsoftInternal__NAV-203923__cf-2,cf,microsoftInternal__NAV-203923,12,1,48,1,-1.337
microsoftInternal__NAV-203923__cf-3,cf,microsoftInternal__NAV-203923,7,1,48,1,-1.559
microsoftInternal__NAV-204450__cf-1,cf,microsoftInternal__NAV-204450,4,1,112,1,-0.353
microsoftInternal__NAV-205825__cf-1,cf,microsoftInternal__NAV-205825,8,1,37,1,-1.746
microsoftInternal__NAV-205825__cf-2,cf,microsoftInternal__NAV-205825,6,1,37,1,-1.835
microsoftInternal__NAV-206527__cf-1,cf,microsoftInternal__NAV-206527,22,1,88,1,-0.055
microsoftInternal__NAV-206977__cf-1,cf,microsoftInternal__NAV-206977,7,2,48,1,-0.068
microsoftInternal__NAV-206977__cf-2,cf,microsoftInternal__NAV-206977,22,4,48,1,3.583
microsoftInternal__NAV-206977__cf-3,cf,microsoftInternal__NAV-206977,23,4,48,1,3.627
microsoftInternal__NAV-207177__cf-1,cf,microsoftInternal__NAV-207177,33,1,33,1,-0.717
microsoftInternal__NAV-207177__cf-2,cf,microsoftInternal__NAV-207177,35,1,33,1,-0.628
microsoftInternal__NAV-207177__cf-3,cf,microsoftInternal__NAV-207177,36,1,34,1,-0.563
microsoftInternal__NAV-207236__cf-1,cf,microsoftInternal__NAV-207236,33,2,98,1,2.134
microsoftInternal__NAV-207247__cf-1,cf,microsoftInternal__NAV-207247,2,1,109,1,-0.505
microsoftInternal__NAV-207247__cf-2,cf,microsoftInternal__NAV-207247,1,1,109,1,-0.549
microsoftInternal__NAV-207247__cf-3,cf,microsoftInternal__NAV-207247,1,1,109,1,-0.549
microsoftInternal__NAV-207878__cf-1,cf,microsoftInternal__NAV-207878,28,2,162,1,3.252
microsoftInternal__NAV-208649__cf-1,cf,microsoftInternal__NAV-208649,17,1,88,1,-0.278
microsoftInternal__NAV-208649__cf-2,cf,microsoftInternal__NAV-208649,17,1,88,1,-0.278
microsoftInternal__NAV-208748__cf-1,cf,microsoftInternal__NAV-208748,11,1,93,1,-0.439
microsoftInternal__NAV-208748__cf-2,cf,microsoftInternal__NAV-208748,11,1,96,1,-0.376
microsoftInternal__NAV-208851__cf-1,cf,microsoftInternal__NAV-208851,4,1,33,1,-2.007
microsoftInternal__NAV-209450__cf-1,cf,microsoftInternal__NAV-209450,22,1,88,1,-0.055
microsoftInternal__NAV-209450__cf-2,cf,microsoftInternal__NAV-209450,22,1,88,1,-0.055
microsoftInternal__NAV-209496__cf-1,cf,microsoftInternal__NAV-209496,8,1,50,1,-1.473
microsoftInternal__NAV-209496__cf-2,cf,microsoftInternal__NAV-209496,8,1,45,1,-1.578
microsoftInternal__NAV-209835__cf-1,cf,microsoftInternal__NAV-209835,2,1,92,1,-0.861
microsoftInternal__NAV-209835__cf-2,cf,microsoftInternal__NAV-209835,2,1,93,1,-0.84
microsoftInternal__NAV-210200__cf-1,cf,microsoftInternal__NAV-210200,5,1,100,1,-0.56
microsoftInternal__NAV-210200__cf-2,cf,microsoftInternal__NAV-210200,5,1,105,1,-0.455
microsoftInternal__NAV-210528__cf-1,cf,microsoftInternal__NAV-210528,12,1,37,1,-1.568
microsoftInternal__NAV-211521__cf-1,cf,microsoftInternal__NAV-211521,3,1,33,1,-2.051
microsoftInternal__NAV-211521__cf-2,cf,microsoftInternal__NAV-211521,3,1,30,1,-2.114
microsoftInternal__NAV-213671__cf-1,cf,microsoftInternal__NAV-213671,2,1,39,1,-1.971
microsoftInternal__NAV-213671__cf-2,cf,microsoftInternal__NAV-213671,2,1,39,1,-1.971
microsoftInternal__NAV-213683__cf-1,cf,microsoftInternal__NAV-213683,4,1,52,1,-1.61
microsoftInternal__NAV-214557__cf-1,cf,microsoftInternal__NAV-214557,26,1,72,1,-0.212
microsoftInternal__NAV-214825__cf-1,cf,microsoftInternal__NAV-214825,2,1,63,1,-1.468
microsoftInternal__NAV-214825__cf-2,cf,microsoftInternal__NAV-214825,2,1,64,1,-1.447
microsoftInternal__NAV-214926__cf-1,cf,microsoftInternal__NAV-214926,19,1,70,1,-0.566
microsoftInternal__NAV-215972__cf-1,cf,microsoftInternal__NAV-215972,3,1,39,1,-1.926
microsoftInternal__NAV-215972__cf-2,cf,microsoftInternal__NAV-215972,3,1,39,1,-1.926
microsoftInternal__NAV-216572__cf-1,cf,microsoftInternal__NAV-216572,5,1,131,1,0.089
microsoftInternal__NAV-216918__cf-1,cf,microsoftInternal__NAV-216918,80,4,54,1,6.287
microsoftInternal__NAV-216918__cf-2,cf,microsoftInternal__NAV-216918,80,4,56,1,6.329
microsoftInternal__NAV-217104__cf-1,cf,microsoftInternal__NAV-217104,5,1,103,1,-0.497
microsoftInternal__NAV-217104__cf-2,cf,microsoftInternal__NAV-217104,5,1,103,1,-0.497
microsoftInternal__NAV-217797__cf-1,cf,microsoftInternal__NAV-217797,7,2,109,1,1.209
microsoftInternal__NAV-217974__cf-1,cf,microsoftInternal__NAV-217974,2,1,42,1,-1.908
microsoftInternal__NAV-217974__cf-2,cf,microsoftInternal__NAV-217974,1,1,42,1,-1.952
microsoftInternal__NAV-218062__cf-1,cf,microsoftInternal__NAV-218062,4,1,158,1,0.61
microsoftInternal__NAV-218323__cf-1,cf,microsoftInternal__NAV-218323,25,3,47,1,2.203
microsoftInternal__NAV-218786__cf-1,cf,microsoftInternal__NAV-218786,24,1,145,1,1.227
microsoftInternal__NAV-220036__cf-1,cf,microsoftInternal__NAV-220036,19,1,54,1,-0.901
microsoftInternal__NAV-220314__cf-1,cf,microsoftInternal__NAV-220314,3,1,48,1,-1.737
microsoftInternal__NAV-220984__cf-1,cf,microsoftInternal__NAV-220984,2,1,88,1,-0.945
microsoftInternal__NAV-221877__cf-1,cf,microsoftInternal__NAV-221877,4,1,49,1,-1.672
microsoftInternal__NAV-222092__cf-1,cf,microsoftInternal__NAV-222092,4,1,81,1,-1.002
microsoftInternal__NAV-222092__cf-2,cf,microsoftInternal__NAV-222092,5,1,80,1,-0.978
microsoftInternal__NAV-222484__cf-1,cf,microsoftInternal__NAV-222484,38,1,93,1,0.761
microsoftInternal__NAV-222488__cf-1,cf,microsoftInternal__NAV-222488,12,1,57,1,-1.149
microsoftInternal__NAV-223202__cf-1,cf,microsoftInternal__NAV-223202,6,1,70,1,-1.144
microsoftInternal__NAV-223493__cf-1,cf,microsoftInternal__NAV-223493,7,2,52,1,0.015
microsoftInternal__NAV-223790__cf-1,cf,microsoftInternal__NAV-223790,22,1,119,1,0.594
microsoftInternal__NAV-224447__cf-1,cf,microsoftInternal__NAV-224447,5,1,99,1,-0.581
microsoftInternal__NAV-224668__cf-1,cf,microsoftInternal__NAV-224668,2,1,27,1,-2.222
microsoftInternal__NAV-224668__cf-2,cf,microsoftInternal__NAV-224668,8,1,33,1,-1.829
microsoftInternal__NAV-224668__cf-3,cf,microsoftInternal__NAV-224668,8,1,31,1,-1.871
microsoftInternal__NAV-226875__cf-1,cf,microsoftInternal__NAV-226875,10,1,53,1,-1.322
microsoftInternal__NAV-227153__cf-1,cf,microsoftInternal__NAV-227153,3,1,85,1,-0.963
microsoftInternal__NAV-227153__cf-2,cf,microsoftInternal__NAV-227153,111,1,86,1,3.861
microsoftInternal__NAV-227219__cf-1,cf,microsoftInternal__NAV-227219,4,1,63,1,-1.379
microsoftInternal__NAV-227358__cf-1,cf,microsoftInternal__NAV-227358,3,1,87,1,-0.921
microsoftInternal__NAV-227358__cf-2,cf,microsoftInternal__NAV-227358,3,1,83,1,-1.005
microsoft__BCApps-4699__cf-1,cf,microsoft__BCApps-4699,9,1,39,1,-1.659
microsoft__BCApps-4822__cf-1,cf,microsoft__BCApps-4822,10,1,32,1,-1.761
microsoft__BCApps-4822__cf-2,cf,microsoft__BCApps-4822,12,1,34,1,-1.63
microsoft__BCApps-5633__cf-1,cf,microsoft__BCApps-5633,32,1,42,1,-0.573
